mean_lbp,std_lbp,LGLRE_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,directionality_tamura,label
236.0941963,56.38893918,0.28074342,0.180208249,16417.86573,23024.45483,234.7527691,0
225.7818075,68.03211781,0.269370208,0.168696949,17389.60281,23962.86974,563.1810737,0
228.6308743,63.01397894,0.101515217,0.064256963,29575.56372,182068.5279,619.040158,0
207.5961723,78.91832489,0.131610603,0.085228461,27501.51026,121504.9586,466.6267048,1
238.8174292,51.71643477,0.262274161,0.158794084,14245.03329,20335.06588,440.8809084,0
217.6941338,74.6680684,0.228537775,0.153378405,13628.24547,18678.75495,251.1314056,0
219.8351684,72.40746604,0.181882813,0.117137043,24628.98176,43463.93122,581.5275077,1
197.886588,84.39306826,0.181729208,0.11691748,24142.84841,60655.03215,475.9012244,1
215.3347507,75.78258359,0.214230203,0.139478399,16517.36381,27207.90666,471.3927526,0
242.5006803,46.04414363,0.176481839,0.114364831,28380.43717,81366.26171,527.6762563,0
222.3712606,70.6902618,0.240599,0.155417086,21390.59579,34395.84015,404.3448076,0
226.5616385,66.68390632,0.162996078,0.10652598,29072.46422,78853.22548,387.5710504,0
206.5242783,79.08495839,0.122170885,0.078183471,26743.80124,97060.05652,486.525736,1
225.8970689,68.04764227,0.26554923,0.169415229,19074.64617,27929.80215,452.4766506,0
216.7192793,73.37982813,0.115380631,0.074134702,31997.02239,125480.0167,558.4961121,1
215.8813583,75.12799852,0.143404106,0.093893559,33139.03477,288222.6134,475.6192993,1
204.4685008,80.55164345,0.135915304,0.087372055,23575.10409,119065.3813,589.8250292,0
215.814463,75.46221559,0.246942093,0.155845872,15185.81198,24016.55059,501.9456139,1
201.7662025,85.7369908,0.217617847,0.152718412,20930.56576,56563.16771,437.6079156,1
222.277686,70.79344198,0.210239802,0.13817153,21285.31327,38404.68591,475.7817794,0
207.8874325,79.44966664,0.145145048,0.094277783,25559.84562,76151.49317,455.1575056,0
